venta_id,fecha,cliente_id,producto_id,producto,categoria,sede,cantidad,precio_unitario,costo_unitario,ingreso,margen
V0002,2026-08-07,C001,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0003,2026-08-23,C038,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0004,2026-08-15,C020,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0005,2026-08-08,C044,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0006,2026-08-22,C020,TIN,Tinto campesino,Bebida caliente,Centro,2,1500,500,3000,2000
V0007,2026-08-01,C029,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0008,2026-08-18,C014,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0010,2026-08-23,C018,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0011,2026-08-07,C057,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0012,2026-08-22,C017,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0013,2026-08-17,C034,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0014,2026-08-18,C056,EMP,Empanada de carne,Snack,Centro,1,2000,900,2000,1100
V0015,2026-08-22,C041,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0016,2026-08-04,C027,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0017,2026-08-28,C025,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0018,2026-08-16,C031,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0019,2026-08-09,C026,JUG,Jugo de naranja natural,Bebida fría,Norte,1,2500,1200,2500,1300
V0020,2026-08-03,C050,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0021,2026-08-08,C003,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0022,2026-08-20,C013,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0023,2026-08-04,C021,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0024,2026-08-25,C049,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0025,2026-08-25,C011,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0026,2026-08-19,C019,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0027,2026-08-10,C053,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0028,2026-08-02,C028,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0030,2026-08-26,C046,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0031,2026-08-29,C021,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0032,2026-08-13,C022,EMP,Empanada de carne,Snack,Centro,1,2000,900,2000,1100
V0033,2026-08-18,C030,CAF,Café con leche 9 oz,Bebida caliente,Norte,1,2000,800,2000,1200
V0034,2026-08-16,C050,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0036,2026-08-07,C027,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0037,2026-08-29,C028,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0038,2026-08-28,C059,SAN,Sándwich de pollo,Snack,Norte,1,3000,1500,3000,1500
V0039,2026-08-13,C052,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0041,2026-08-13,C029,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0042,2026-08-27,C058,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0043,2026-08-08,C052,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0044,2026-08-15,C004,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0045,2026-08-08,C028,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0046,2026-08-11,C025,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0047,2026-08-17,C049,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0048,2026-08-09,C006,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0049,2026-08-15,C011,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0050,2026-07-31,C036,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0051,2026-08-25,C042,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0052,2026-08-22,C013,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0053,2026-08-18,C005,CAF,Café con leche 9 oz,Bebida caliente,Norte,1,2000,800,2000,1200
V0054,2026-08-29,C014,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0055,2026-08-16,C060,EMP,Empanada de carne,Snack,Norte,1,2000,900,2000,1100
V0056,2026-08-27,C058,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0057,2026-08-08,C027,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0058,2026-08-18,C011,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0059,2026-08-28,C017,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0060,2026-08-02,C021,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0061,2026-08-27,C009,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0062,2026-08-08,C032,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0063,2026-08-04,C047,JUG,Jugo de naranja natural,Bebida fría,Centro,1,2500,1200,2500,1300
V0064,2026-08-13,C004,CAF,Café con leche 9 oz,Bebida caliente,Centro,1,2000,800,2000,1200
V0065,2026-08-17,C013,CAF,Café con leche 9 oz,Bebida caliente,Centro,1,2000,800,2000,1200
V0066,2026-08-04,C006,CAF,Café con leche 9 oz,Bebida caliente,Norte,2,2000,800,4000,2400
V0067,2026-08-01,C037,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0068,2026-08-23,C016,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0069,2026-08-13,C030,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0070,2026-08-01,C020,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0071,2026-08-01,C011,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0073,2026-08-25,C036,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0074,2026-08-19,C050,GAL,Galleta de avena,Snack,Norte,2,1500,700,3000,1600
V0076,2026-08-05,C007,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0077,2026-08-02,C002,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0078,2026-08-12,C055,JUG,Jugo de naranja natural,Bebida fría,Centro,1,2500,1200,2500,1300
V0079,2026-08-13,C060,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0080,2026-08-07,C028,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0081,2026-08-24,C034,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0082,2026-08-10,C041,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0083,2026-08-05,C030,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0084,2026-08-02,C046,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0085,2026-08-13,C007,AGU,Agua sin gas 420 ml,Bebida fría,Norte,2,1000,400,2000,1200
V0086,2026-08-18,C040,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0087,2026-08-04,C020,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0088,2026-08-25,C004,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0089,2026-08-05,C029,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0090,2026-08-22,C020,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0091,2026-07-31,C045,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0092,2026-08-21,C049,EMP,Empanada de carne,Snack,Centro,1,2000,900,2000,1100
V0093,2026-08-13,C054,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0094,2026-08-09,C032,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0096,2026-08-12,C021,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0097,2026-08-03,C059,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0098,2026-08-13,C023,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0099,2026-08-02,C050,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0100,2026-08-28,C050,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0101,2026-08-22,C020,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0102,2026-08-22,C040,CAF,Café con leche 9 oz,Bebida caliente,Centro,1,2000,800,2000,1200
V0103,2026-08-24,C016,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0104,2026-08-27,C052,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0105,2026-08-22,C048,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0106,2026-07-31,C005,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0107,2026-08-05,C050,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0108,2026-08-15,C049,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0109,2026-08-28,C007,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0110,2026-08-12,C001,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0111,2026-08-16,C026,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0112,2026-08-01,C017,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0113,2026-08-02,C036,CAF,Café con leche 9 oz,Bebida caliente,Centro,1,2000,800,2000,1200
V0114,2026-08-13,C032,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0115,2026-08-07,C053,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0116,2026-08-28,C033,GAL,Galleta de avena,Snack,Centro,2,1500,700,3000,1600
V0117,2026-08-14,C021,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0118,2026-08-18,C051,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0119,2026-08-17,C059,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0120,2026-08-17,C035,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0121,2026-08-29,C051,GAL,Galleta de avena,Snack,Norte,1,1500,700,1500,800
V0122,2026-08-17,C047,GAL,Galleta de avena,Snack,Centro,2,1500,700,3000,1600
V0123,2026-08-03,C042,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0124,2026-08-04,C011,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0125,2026-08-25,C022,TEA,Té de hierbas,Bebida caliente,Norte,1,1500,600,1500,900
V0126,2026-08-07,C030,JUG,Jugo de naranja natural,Bebida fría,Centro,1,2500,1200,2500,1300
V0127,2026-08-11,C013,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0128,2026-08-28,C024,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0129,2026-08-07,C021,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0130,2026-08-26,C010,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0131,2026-08-04,C038,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0132,2026-08-26,C019,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0133,2026-08-22,C009,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0134,2026-08-01,C007,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0135,2026-08-20,C025,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0136,2026-08-24,C044,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0137,2026-08-25,C057,TIN,Tinto campesino,Bebida caliente,Norte,1,1500,500,1500,1000
V0138,2026-08-21,C014,GAL,Galleta de avena,Snack,Centro,1,1500,700,1500,800
V0139,2026-07-31,C018,TEA,Té de hierbas,Bebida caliente,Centro,1,1500,600,1500,900
V0140,2026-08-19,C038,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0141,2026-08-18,C056,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0142,2026-08-16,C031,AGU,Agua sin gas 420 ml,Bebida fría,Norte,1,1000,400,1000,600
V0143,2026-08-18,C046,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
V0144,2026-08-19,C028,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0145,2026-08-13,C037,TIN,Tinto campesino,Bebida caliente,Centro,1,1500,500,1500,1000
V0146,2026-08-16,C028,AGU,Agua sin gas 420 ml,Bebida fría,Centro,1,1000,400,1000,600
